1775848601,0, 4
1775848602,0, 4
1775848604,0, 4
1775848605,0, 4
1775848606,0, 4
1775848608,0, 4
1775848611,0, 4
1775848612,0, 4
1775848613,0, 4
1775848615,0, 4
1775848617,0, 4
1775848618,0, 4
1775848619,0, 4
1775848621,0, 4
1775848622,0, 4
1775848623,0, 4
1775848625,0, 4
1775848626,0, 4
1775848627,0, 4
1775848629,0, 272
1775848631,1, 1496
1775848633,0, 1536
1775848634,2, 2080
1775848635,2, 2602
1775848636,1, 3126
1775848638,3, 3670
1775848639,2, 4172
1775848640,0, 4192
1775848641,0, 4192
1775848643,0, 4192
1775848644,0, 4192
1775848645,0, 4192
1775848646,0, 4236
1775848648,2, 4380
1775848649,0, 4420
1775848650,0, 4430
1775848653,88, 7180
1775848655,90, 7328
1775848656,89, 7328
1775848660,18, 7528
1775848661,93, 7528
1775848663,86, 7528
1775848665,69, 7528
1775848669,11, 7588
1775848670,12, 7588
1775848671,100, 7588
1775848673,63, 7628
1775848674,12, 7628
1775848675,88, 7628
1775848677,94, 7628
1775848678,11, 7628
1775848680,100, 7628
1775848682,44, 7628
1775848683,8, 7628
1775848684,10, 7628
1775848686,11, 7628
1775848687,12, 7628
1775848688,81, 7628
1775848690,100, 7628
1775848691,58, 7628
1775848692,8, 7628
1775848693,71, 7628
1775848695,100, 7628
1775848696,11, 7828
1775848697,22, 7828
1775848698,81, 7828
1775848700,79, 7828
1775848702,100, 7828
1775848704,12, 7828
1775848706,56, 7828
1775848707,79, 7828
1775848708,11, 7828
1775848709,8, 7828
1775848711,8, 7828
1775848712,11, 7828
1775848713,40, 7828
1775848717,11, 7828
1775848718,12, 7828
1775848719,58, 7828
1775848721,74, 7828
1775848722,100, 7928
1775848724,93, 7928
1775848728,10, 7928
1775848729,11, 7928
1775848730,48, 7928
1775848732,100, 7928
1775848733,100, 7928
1775848734,35, 7928
1775848735,12, 7928
1775848737,12, 7928
1775848738,10, 7928
1775848739,11, 7928
1775848740,63, 7928
1775848745,13, 7928
1775848747,75, 7928
1775848748,13, 7928
1775848750,11, 7928
1775848751,73, 7928
1775848752,11, 7928
1775848753,11, 7928
1775848755,34, 7928
1775848756,100, 7928
1775848757,25, 7928
1775848759,94, 7928
1775848760,86, 7928
1775848761,12, 7928
1775848763,12, 7928
1775848764,68, 7928
1775848765,100, 7928
1775848766,9, 7928
1775848768,100, 8828
1775848769,9, 8828
1775848770,12, 8828
1775848772,56, 8828
1775848773,89, 8828
1775848774,100, 8828
1775848776,11, 8828
1775848777,13, 8828
1775848782,96, 10152
1775848785,11, 10152
1775848786,9, 10152
1775848787,74, 10152
1775848788,94, 10152
1775848790,11, 10152
1775848791,10, 10152
1775848792,100, 13732
1775848794,10, 13732
1775848795,7, 13732
1775848796,23, 13732
1775848798,12, 13732
1775848799,53, 13732
1775848800,94, 13732
1775848802,96, 13732
1775848803,88, 13732
1775848804,100, 18852
1775848805,100, 18852
1775848807,11, 18852
1775848808,10, 18852
1775848809,36, 18852
1775848811,100, 18852
1775848812,41, 18852
1775848813,10, 18852
1775848814,8, 18852
1775848816,15, 18852
1775848817,76, 18852
1775848818,86, 18852
1775848819,33, 18852
1775848821,11, 18852
1775848822,7, 18852
1775848823,10, 18852
1775848825,78, 18852
1775848826,82, 18852
1775848827,12, 18852
1775848828,9, 18852
1775848830,0, 18852
