beam,rep_penalty,no_repeat_ngram,temp_fallback,total,repetition,syntactic,content,total_ref_words
1,1.0,0,False,0.012691914022517911,0.0,0.00368474923234391,0.009007164790174002,4885
1,1.0,0,True,0.012691914022517911,0.0,0.00368474923234391,0.009007164790174002,4885
1,1.0,3,False,0.012896622313203685,0.0,0.0038894575230296827,0.009007164790174002,4885
1,1.0,3,True,0.012896622313203685,0.0,0.0038894575230296827,0.009007164790174002,4885
1,1.0,5,False,0.012691914022517911,0.0,0.00368474923234391,0.009007164790174002,4885
1,1.0,5,True,0.012691914022517911,0.0,0.00368474923234391,0.009007164790174002,4885
1,1.1,0,False,0.012282497441146366,0.0,0.0032753326509723643,0.009007164790174002,4885
1,1.1,0,True,0.012282497441146366,0.0,0.0032753326509723643,0.009007164790174002,4885
1,1.1,3,False,0.01248720573183214,0.0,0.003480040941658137,0.009007164790174002,4885
1,1.1,3,True,0.01248720573183214,0.0,0.003480040941658137,0.009007164790174002,4885
1,1.1,5,False,0.012282497441146366,0.0,0.0032753326509723643,0.009007164790174002,4885
1,1.1,5,True,0.012282497441146366,0.0,0.0032753326509723643,0.009007164790174002,4885
1,1.3,0,False,0.012282497441146366,0.0,0.003480040941658137,0.008802456499488229,4885
1,1.3,0,True,0.012282497441146366,0.0,0.003480040941658137,0.008802456499488229,4885
1,1.3,3,False,0.012282497441146366,0.0,0.003480040941658137,0.008802456499488229,4885
1,1.3,3,True,0.012282497441146366,0.0,0.003480040941658137,0.008802456499488229,4885
1,1.3,5,False,0.012282497441146366,0.0,0.0032753326509723643,0.009007164790174002,4885
1,1.3,5,True,0.012282497441146366,0.0,0.0032753326509723643,0.009007164790174002,4885
5,1.0,0,False,0.14779938587512795,0.07881269191402251,0.0593654042988741,0.00962128966223132,4885
5,1.0,0,True,0.14779938587512795,0.07881269191402251,0.0593654042988741,0.00962128966223132,4885
5,1.0,3,False,0.01330603889457523,0.0,0.004503582395087001,0.008802456499488229,4885
5,1.0,3,True,0.01330603889457523,0.0,0.004503582395087001,0.008802456499488229,4885
5,1.0,5,False,0.013510747185261003,0.00020470829068577277,0.004503582395087001,0.008802456499488229,4885
5,1.0,5,True,0.013510747185261003,0.00020470829068577277,0.004503582395087001,0.008802456499488229,4885
5,1.1,0,False,0.08208802456499488,0.035619242579324466,0.03725690890481064,0.009211873080859774,4885
5,1.1,0,True,0.08208802456499488,0.035619242579324466,0.03725690890481064,0.009211873080859774,4885
5,1.1,3,False,0.013101330603889457,0.0,0.004298874104401228,0.008802456499488229,4885
5,1.1,3,True,0.013101330603889457,0.0,0.004298874104401228,0.008802456499488229,4885
5,1.1,5,False,0.01330603889457523,0.00020470829068577277,0.004298874104401228,0.008802456499488229,4885
5,1.1,5,True,0.01330603889457523,0.00020470829068577277,0.004298874104401228,0.008802456499488229,4885
5,1.3,0,False,0.012691914022517911,0.0006141248720573184,0.004298874104401228,0.0077789150460593655,4885
5,1.3,0,True,0.012691914022517911,0.0006141248720573184,0.004298874104401228,0.0077789150460593655,4885
5,1.3,3,False,0.01248720573183214,0.0,0.004298874104401228,0.008188331627430911,4885
5,1.3,3,True,0.01248720573183214,0.0,0.004298874104401228,0.008188331627430911,4885
5,1.3,5,False,0.012691914022517911,0.00020470829068577277,0.004298874104401228,0.008188331627430911,4885
5,1.3,5,True,0.012691914022517911,0.00020470829068577277,0.004298874104401228,0.008188331627430911,4885
