1775834205,0, 4
1775834206,0, 4
1775834208,0, 4
1775834213,0, 4
1775834214,0, 4
1775834216,0, 4
1775834217,0, 4
1775834218,0, 4
1775834219,0, 4
1775834221,0, 4
1775834222,0, 4
1775834223,0, 4
1775834227,0, 272
1775834230,0, 1496
1775834231,0, 1496
1775834233,2, 1878
1775834234,2, 2260
1775834235,0, 2622
1775834237,2, 3066
1775834238,2, 3468
1775834239,0, 3830
1775834241,1, 4192
1775834242,0, 4236
1775834243,0, 4360
1775834245,0, 4420
1775834246,0, 4426
1775834247,2, 4476
1775834251,10, 5966
1775834255,9, 9214
1775834256,12, 9214
1775834257,38, 9214
1775834259,43, 9214
1775834260,7, 9214
1775834261,56, 9216
1775834263,75, 9216
1775834264,12, 9216
1775834265,24, 9216
1775834266,27, 9216
1775834268,6, 9216
1775834269,53, 9216
1775834270,12, 9216
1775834272,61, 9216
1775834273,14, 9216
1775834274,52, 9216
1775834275,61, 9216
1775834277,45, 9216
1775834278,19, 9216
1775834279,21, 9216
1775834280,12, 9216
1775834282,17, 9216
1775834283,54, 9216
1775834284,11, 9216
1775834285,21, 9216
1775834287,42, 9216
1775834292,37, 9216
1775834294,47, 9216
1775834295,37, 9216
1775834296,8, 9216
1775834297,72, 9216
1775834299,12, 9216
1775834300,58, 9216
1775834301,30, 9216
1775834302,67, 9216
1775834304,15, 9216
1775834305,55, 9216
1775834306,21, 9216
1775834307,100, 9216
1775834309,14, 9216
1775834310,51, 9216
1775834311,10, 9216
1775834313,71, 9216
1775834314,20, 9216
1775834315,14, 9216
1775834317,11, 9216
1775834318,52, 9216
1775834319,75, 9216
1775834321,60, 9216
1775834322,46, 9216
1775834323,10, 9216
1775834325,36, 9216
1775834326,10, 9216
1775834327,100, 9216
1775834329,14, 9216
1775834330,56, 9216
1775834331,30, 9216
1775834333,67, 9216
1775834338,49, 9216
1775834340,41, 9216
1775834342,32, 9216
1775834343,24, 9216
1775834344,95, 9216
1775834346,34, 9216
1775834347,7, 9216
1775834348,41, 9216
1775834350,6, 9216
1775834351,24, 9216
1775834352,65, 9216
1775834354,11, 9216
1775834355,0, 9216
1775834356,47, 9216
1775834357,31, 9216
1775834359,56, 9216
1775834360,10, 9216
1775834361,52, 9216
1775834362,100, 9216
1775834364,32, 9216
1775834365,11, 9216
1775834366,42, 9216
1775834367,49, 9216
1775834369,8, 9216
1775834370,38, 9216
1775834371,9, 9216
1775834373,9, 9216
1775834374,36, 9216
1775834375,44, 9216
1775834376,22, 9216
1775834378,18, 9216
1775834379,0, 9216
1775834380,0, 9216
1775834381,0, 9216
1775834383,0, 9216
