trial_number,eval_loss,rank,alpha_ratio,alpha,dropout,target_mlp,lr,weight_decay,lr_scheduler,warmup_ratio,grad_accum_steps,pruned_at_step
12,0.1691158648021519,8,1,8,0.1,False,0.0006082653960640115,0.00038184682479739697,cosine,0.0,2,100
31,0.1698334081657231,4,2,8,0.0,True,0.00013489526957497587,4.094207601116419e-05,linear,0.03,2,75
77,0.17051802805624902,8,1,8,0.05,True,0.0003026855682705544,0.00016366158026199194,cosine,0.1,1,75
36,0.1707967678643763,4,2,8,0.0,True,0.00013902596692845913,5.551359264911533e-05,linear,0.03,2,75
55,0.17251770241186024,4,2,8,0.0,True,7.48061273246027e-05,6.582946794034405e-05,linear,0.03,2,75
90,0.1726409044303,32,1,32,0.1,False,0.0002186840218715423,0.00010110849731683602,cosine,0.0,4,75
34,0.17281985614448786,4,2,8,0.0,True,6.587408416912175e-05,0.005662235293825817,linear,0.03,2,100
29,0.17285232635214925,4,2,8,0.0,True,0.0001449100716813805,5.03990764107353e-05,linear,0.03,2,75
47,0.1732264970242977,4,2,8,0.0,True,0.00014951275851728704,5.925339264684866e-05,linear,0.03,2,75
89,0.17367711251135914,32,1,32,0.1,False,0.0001967546500507118,0.00011480730082267077,cosine,0.0,4,100
46,0.1739777930267155,4,2,8,0.0,True,0.0001344954760521386,5.7802398775784e-05,linear,0.03,2,75
93,0.17403188668191433,16,1,16,0.1,False,0.00022488160183652348,0.00010755794847492428,cosine,0.0,4,75
52,0.17500433821231126,4,2,8,0.0,True,0.00015800850894327032,6.429740821541295e-05,linear,0.03,2,75
94,0.17747156034223735,32,1,32,0.1,False,0.0005301632939993084,0.0005455420645779499,cosine,0.0,1,75
30,0.17778926545754076,4,2,8,0.0,True,0.0001342724270175364,6.762362120832716e-05,linear,0.03,2,75
85,0.17783235853537918,32,1,32,0.1,False,0.00021845380348101874,0.0006198498829033928,cosine,0.0,4,75
38,0.17826374769210815,4,2,8,0.0,True,7.114214114786696e-05,3.767203467952403e-05,linear,0.03,2,75
