trial_number,eval_loss,rank,alpha_ratio,alpha,dropout,target_mlp,lr,weight_decay,lr_scheduler,warmup_ratio,grad_accum_steps,pruned_at_step
77,0.1423511105007492,4,1,4,0.05,True,0.0003465297701419132,0.0001742390569988426,constant,0.0,1,100
16,0.14411712680011987,8,2,16,0.15,True,0.00024092145436664767,0.0018573288333114874,constant,0.0,1,100
85,0.14416769927367568,4,1,4,0.05,True,0.0003230197864396195,0.005448520544559085,constant,0.0,1,100
76,0.14852579502388835,4,1,4,0.05,True,0.00031480835804254843,0.00020964557833952018,constant,0.0,1,100
95,0.14864328163675963,4,1,4,0.05,True,0.0003289934579593419,0.0029406264563540704,constant,0.0,1,100
78,0.15044261308386922,4,1,4,0.05,True,0.00033149466063774605,1.3130711945239773e-05,constant,0.0,1,100
79,0.15247639887034892,4,1,4,0.05,True,0.0003211865927492355,0.00016739218422766834,constant,0.0,1,100
88,0.15334360947832465,4,1,4,0.05,True,0.0003296578861527961,0.0029942829592732347,constant,0.0,1,100
70,0.15342040520859881,8,2,16,0.15,False,0.00014923888895245112,0.0042133158629683405,constant,0.0,1,100
96,0.1540268321428448,4,1,4,0.05,True,0.00033933515931635646,0.005242877821674114,constant,0.0,1,100
21,0.1540893668588251,32,1,32,0.1,True,0.00010122183035228781,0.006542056762893132,constant,0.0,1,100
39,0.15503569845110177,32,2,64,0.1,True,0.00025672091744111754,0.00816995198616531,constant,0.0,1,100
84,0.1557144063874148,4,1,4,0.05,True,0.0003283637244090486,0.00019393576232535787,constant,0.0,1,100
83,0.15600052654510363,4,1,4,0.05,True,0.0003283668110053321,0.0028666691933702253,constant,0.0,1,100
47,0.15722336909733714,8,2,16,0.15,False,0.00014652056167463692,6.305814479903179e-05,constant,0.0,1,100
86,0.1578032112470828,4,1,4,0.05,True,0.00032523393420356126,0.0025474891382746873,constant,0.0,1,100
71,0.15784405364654958,8,2,16,0.15,False,0.00014891887885951552,5.866502233818552e-05,constant,0.0,1,100
20,0.15835781466215848,4,2,8,0.05,False,0.00020664542018650084,0.0015109330261674466,constant,0.0,1,100
17,0.15954386957921088,32,1,32,0.05,True,0.00012894414393074176,0.0038765111709116325,constant,0.0,1,75
102,0.16011443808674813,4,1,4,0.05,True,0.0003277796920951226,0.00017098400189071667,constant,0.0,1,100
94,0.16013113926164807,4,1,4,0.05,True,0.00011323650422884161,0.00020344688087445804,constant,0.0,1,100
100,0.16044702502898872,4,1,4,0.05,True,0.00032908762939002826,1.147952718928601e-05,constant,0.0,1,75
91,0.16090219544945283,4,1,4,0.05,True,0.000337618300723295,0.00018860612148854838,constant,0.0,1,100
24,0.16197234893101267,4,2,8,0.15,True,0.0005685205190332093,0.00011101191524846065,constant,0.0,1,75
89,0.16258789859712125,4,1,4,0.05,True,0.000112396627491122,0.002881776918086171,constant,0.0,1,75
18,0.1632299300818704,4,1,4,0.0,True,0.0005945287330479985,1.0477226564098284e-06,constant,0.0,1,75
29,0.16344269095221534,32,2,64,0.1,True,0.0002055562188495878,0.000576750917770577,constant,0.0,1,75
75,0.16499111655168236,4,1,4,0.05,True,0.00033896799194243533,0.00022349695636208634,constant,0.0,1,100
50,0.16567521436139943,8,2,16,0.15,False,6.71395519693454e-05,4.176748206559801e-05,constant,0.0,1,100
99,0.16783600058406592,4,1,4,0.05,True,0.00033011646536750525,0.0028677212447831895,constant,0.0,1,100
13,0.16835198463872075,16,2,32,0.15,False,3.997206819121805e-05,9.074256288983866e-05,constant,0.0,1,100
92,0.16856801456771792,4,1,4,0.05,True,0.00011505590012159678,0.0002159905611085293,constant,0.0,1,75
68,0.16903366662561894,8,2,16,0.15,False,6.583291587252406e-05,5.2683443117250524e-05,constant,0.0,1,100
73,0.17054624551907183,8,2,16,0.15,False,0.00012694746351189822,2.6272538398758965e-05,constant,0.0,1,75
2,0.17155346022918821,16,2,32,0.0,False,3.8396292998041685e-05,1.8205657658407268e-06,constant,0.0,1,100
87,0.17261204313952475,4,1,4,0.05,True,0.00035932046494052444,0.000181516594540283,constant,0.0,1,75
97,0.17320749767124652,4,1,4,0.05,True,0.0003427890661334905,0.002650425861219283,constant,0.0,1,100
0,0.17422682207077742,4,1,4,0.15,True,5.6115164153345e-05,1.2087541473056965e-06,constant,0.0,1,100
30,0.1762707759346813,32,2,64,0.1,True,0.00018035236552811586,0.007671258766167177,constant,0.0,1,75
98,0.17679030660539866,16,1,16,0.05,True,0.00034803751035319,0.0027767233496634727,constant,0.0,1,75
67,0.17797754755243658,8,2,16,0.15,False,6.45300636026772e-05,5.8892906597281715e-05,constant,0.0,1,75
48,0.1780930184200406,8,2,16,0.15,False,0.0001573274187708794,2.5032605203275617e-05,constant,0.0,1,75
59,0.1782853220589459,8,2,16,0.15,False,6.289906161666003e-05,6.400959465026673e-05,constant,0.0,1,75
65,0.17871798461303115,8,2,16,0.15,False,6.411530925776919e-05,3.111979080028534e-05,constant,0.0,1,75
36,0.17902586782351138,32,2,64,0.1,True,0.0002362527135939031,0.007534933229670139,constant,0.0,1,75
3,0.17957340570166708,4,1,4,0.0,False,0.000790261954970823,0.004337920697490943,constant,0.0,1,100
57,0.1795891933143139,8,2,16,0.15,False,6.244133728058506e-05,0.004155552580036748,constant,0.0,1,75
72,0.18012923547998072,8,2,16,0.15,False,5.9671782712422055e-05,3.488832932595088e-05,constant,0.0,1,75
31,0.1811368827475235,32,2,64,0.1,True,0.0002171220267000437,0.00979841261110838,constant,0.0,1,75
61,0.1824079827219248,8,2,16,0.15,False,6.009713063931736e-05,3.8365895778100455e-05,constant,0.0,1,75
