layer,head,insertion_rate_masked,delta_insertion_rate,delta_repetition,delta_syntactic,delta_content,p_value_delta,regression_checked,non_indian_wer_masked,regression_ok
20,11,0.01187308085977482,0.0008188331627430913,0.0,0.001023541453428864,-0.00020470829068577195,0.0456,True,0.0663,True
0,15,0.012077789150460594,0.0006141248720573176,0.0,0.0006141248720573185,0.0,0.0506,True,0.0663,True
22,19,0.012077789150460594,0.0006141248720573176,0.0,0.0006141248720573185,0.0,0.0505,True,0.0674,True
7,6,0.012077789150460594,0.0006141248720573176,0.0,0.001023541453428864,-0.00040941658137154564,0.1276,True,0.067,True
10,8,0.012077789150460594,0.0006141248720573176,0.0,0.0008188331627430913,-0.00020470829068577195,0.3737,True,0.067,True
25,5,0.012077789150460594,0.0006141248720573176,0.0,0.001023541453428864,-0.00040941658137154564,0.051,True,0.0658,True
0,14,0.012077789150460594,0.0006141248720573176,0.0,0.0008188331627430913,-0.00020470829068577195,0.2393,True,0.0677,True
13,17,0.012282497441146366,0.00040941658137154564,0.0,0.0006141248720573185,-0.00020470829068577195,0.1322,False,,
12,8,0.012282497441146366,0.00040941658137154564,0.0,0.0008188331627430913,-0.00040941658137154564,0.1378,False,,
11,11,0.012282497441146366,0.00040941658137154564,0.0,0.0006141248720573185,-0.00020470829068577195,0.1329,False,,
